2025-05-01T08:23:24
Configurations(Methods):
Name,Touch Interfaces
config01,"Button00, TS05"
config02,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Button00:Measurement Value",Baseline,Threshold,Touch ON/OFF Difference,Hysteresis,Status,"config02:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
11607,11602,1450,5,72,0,-,-,-,-,-,-,-,-
11606,11602,1450,4,72,0,-,-,-,-,-,-,-,-
11593,11602,1450,-9,72,0,-,-,-,-,-,-,-,-
11603,11602,1450,1,72,0,-,-,-,-,-,-,-,-
11608,11602,1450,6,72,0,-,-,-,-,-,-,-,-
11618,11602,1450,16,72,0,-,-,-,-,-,-,-,-
11618,11602,1450,16,72,0,-,-,-,-,-,-,-,-
11609,11602,1450,7,72,0,-,-,-,-,-,-,-,-
11610,11602,1450,8,72,0,-,-,-,-,-,-,-,-
11598,11602,1450,-4,72,0,-,-,-,-,-,-,-,-
11585,11602,1450,-17,72,0,-,-,-,-,-,-,-,-
11591,11602,1450,-11,72,0,-,-,-,-,-,-,-,-
11601,11602,1450,-1,72,0,-,-,-,-,-,-,-,-
11612,11602,1450,10,72,0,-,-,-,-,-,-,-,-
11608,11602,1450,6,72,0,-,-,-,-,-,-,-,-
11619,11602,1450,17,72,0,-,-,-,-,-,-,-,-
11618,11602,1450,16,72,0,-,-,-,-,-,-,-,-
11608,11602,1450,6,72,0,-,-,-,-,-,-,-,-
11608,11602,1450,6,72,0,-,-,-,-,-,-,-,-
11602,11602,1450,0,72,0,-,-,-,-,-,-,-,-
11594,11602,1450,-8,72,0,-,-,-,-,-,-,-,-
11591,11602,1450,-11,72,0,-,-,-,-,-,-,-,-
11583,11602,1450,-19,72,0,-,-,-,-,-,-,-,-
11578,11602,1450,-24,72,0,-,-,-,-,-,-,-,-
11597,11602,1450,-5,72,0,-,-,-,-,-,-,-,-
11607,11602,1450,5,72,0,-,-,-,-,-,-,-,-
11608,11602,1450,6,72,0,-,-,-,-,-,-,-,-
11601,11602,1450,-1,72,0,-,-,-,-,-,-,-,-
11597,11602,1450,-5,72,0,-,-,-,-,-,-,-,-
11606,11602,1450,4,72,0,-,-,-,-,-,-,-,-
11598,11602,1450,-4,72,0,-,-,-,-,-,-,-,-
11590,11602,1450,-12,72,0,-,-,-,-,-,-,-,-
11592,11602,1450,-10,72,0,-,-,-,-,-,-,-,-
11601,11602,1450,-1,72,0,-,-,-,-,-,-,-,-
11608,11602,1450,6,72,0,-,-,-,-,-,-,-,-
11600,11602,1450,-2,72,0,-,-,-,-,-,-,-,-
11611,11602,1450,9,72,0,-,-,-,-,-,-,-,-
11618,11602,1450,16,72,0,-,-,-,-,-,-,-,-
11616,11602,1450,14,72,0,-,-,-,-,-,-,-,-
11618,11602,1450,16,72,0,-,-,-,-,-,-,-,-
11607,11602,1450,5,72,0,-,-,-,-,-,-,-,-
11611,11602,1450,9,72,0,-,-,-,-,-,-,-,-
11599,11602,1450,-3,72,0,-,-,-,-,-,-,-,-
11598,11602,1450,-4,72,0,-,-,-,-,-,-,-,-
11601,11602,1450,-1,72,0,-,-,-,-,-,-,-,-
11606,11602,1450,4,72,0,-,-,-,-,-,-,-,-
11612,11602,1450,10,72,0,-,-,-,-,-,-,-,-
11615,11602,1450,13,72,0,-,-,-,-,-,-,-,-
11622,11602,1450,20,72,0,-,-,-,-,-,-,-,-
11617,11602,1450,15,72,0,-,-,-,-,-,-,-,-
11607,11602,1450,5,72,0,-,-,-,-,-,-,-,-
11612,11602,1450,10,72,0,-,-,-,-,-,-,-,-
11603,11602,1450,1,72,0,-,-,-,-,-,-,-,-
11602,11602,1450,0,72,0,-,-,-,-,-,-,-,-
11600,11602,1450,-2,72,0,-,-,-,-,-,-,-,-
11607,11602,1450,5,72,0,-,-,-,-,-,-,-,-
11600,11602,1450,-2,72,0,-,-,-,-,-,-,-,-
11617,11602,1450,15,72,0,-,-,-,-,-,-,-,-
11617,11602,1450,15,72,0,-,-,-,-,-,-,-,-
11607,11602,1450,5,72,0,-,-,-,-,-,-,-,-
11613,11602,1450,11,72,0,-,-,-,-,-,-,-,-
11610,11602,1450,8,72,0,-,-,-,-,-,-,-,-
11602,11602,1450,0,72,0,-,-,-,-,-,-,-,-
11606,11602,1450,4,72,0,-,-,-,-,-,-,-,-
11603,11602,1450,1,72,0,-,-,-,-,-,-,-,-
11604,11602,1450,2,72,0,-,-,-,-,-,-,-,-
11626,11602,1450,24,72,0,-,-,-,-,-,-,-,-
11624,11602,1450,22,72,0,-,-,-,-,-,-,-,-
11626,11602,1450,24,72,0,-,-,-,-,-,-,-,-
11616,11602,1450,14,72,0,-,-,-,-,-,-,-,-
11622,11602,1450,20,72,0,-,-,-,-,-,-,-,-
11611,11602,1450,9,72,0,-,-,-,-,-,-,-,-
11602,11602,1450,0,72,0,-,-,-,-,-,-,-,-
11606,11602,1450,4,72,0,-,-,-,-,-,-,-,-
11612,11602,1450,10,72,0,-,-,-,-,-,-,-,-
11609,11602,1450,7,72,0,-,-,-,-,-,-,-,-
11605,11602,1450,3,72,0,-,-,-,-,-,-,-,-
11610,11602,1450,8,72,0,-,-,-,-,-,-,-,-
11610,11602,1450,8,72,0,-,-,-,-,-,-,-,-
11607,11602,1450,5,72,0,-,-,-,-,-,-,-,-
11611,11602,1450,9,72,0,-,-,-,-,-,-,-,-
11614,11602,1450,12,72,0,-,-,-,-,-,-,-,-
11619,11602,1450,17,72,0,-,-,-,-,-,-,-,-
11621,11602,1450,19,72,0,-,-,-,-,-,-,-,-
11612,11602,1450,10,72,0,-,-,-,-,-,-,-,-
11613,11602,1450,11,72,0,-,-,-,-,-,-,-,-
11617,11602,1450,15,72,0,-,-,-,-,-,-,-,-
11620,11602,1450,18,72,0,-,-,-,-,-,-,-,-
11617,11602,1450,15,72,0,-,-,-,-,-,-,-,-
11620,11602,1450,18,72,0,-,-,-,-,-,-,-,-
11628,11602,1450,26,72,0,-,-,-,-,-,-,-,-
11623,11602,1450,21,72,0,-,-,-,-,-,-,-,-
11625,11602,1450,23,72,0,-,-,-,-,-,-,-,-
11626,11602,1450,24,72,0,-,-,-,-,-,-,-,-
11615,11602,1450,13,72,0,-,-,-,-,-,-,-,-
11601,11602,1450,-1,72,0,-,-,-,-,-,-,-,-
11600,11602,1450,-2,72,0,-,-,-,-,-,-,-,-
11595,11602,1450,-7,72,0,-,-,-,-,-,-,-,-
11595,11602,1450,-7,72,0,-,-,-,-,-,-,-,-
11605,11602,1450,3,72,0,-,-,-,-,-,-,-,-
11616,11602,1450,14,72,0,-,-,-,-,-,-,-,-
11622,11602,1450,20,72,0,-,-,-,-,-,-,-,-
11615,11602,1450,13,72,0,-,-,-,-,-,-,-,-
11625,11602,1450,23,72,0,-,-,-,-,-,-,-,-
11625,11602,1450,23,72,0,-,-,-,-,-,-,-,-
11626,11602,1450,24,72,0,-,-,-,-,-,-,-,-
11616,11602,1450,14,72,0,-,-,-,-,-,-,-,-
11619,11602,1450,17,72,0,-,-,-,-,-,-,-,-
11614,11602,1450,12,72,0,-,-,-,-,-,-,-,-
11603,11602,1450,1,72,0,-,-,-,-,-,-,-,-
11603,11602,1450,1,72,0,-,-,-,-,-,-,-,-
11615,11602,1450,13,72,0,-,-,-,-,-,-,-,-
11613,11602,1450,11,72,0,-,-,-,-,-,-,-,-
11613,11602,1450,11,72,0,-,-,-,-,-,-,-,-
11608,11602,1450,6,72,0,-,-,-,-,-,-,-,-
11616,11602,1450,14,72,0,-,-,-,-,-,-,-,-
11615,11602,1450,13,72,0,-,-,-,-,-,-,-,-
11609,11602,1450,7,72,0,-,-,-,-,-,-,-,-
11596,11602,1450,-6,72,0,-,-,-,-,-,-,-,-
11596,11602,1450,-6,72,0,-,-,-,-,-,-,-,-
11600,11602,1450,-2,72,0,-,-,-,-,-,-,-,-
11608,11602,1450,6,72,0,-,-,-,-,-,-,-,-
11607,11602,1450,5,72,0,-,-,-,-,-,-,-,-
11610,11602,1450,8,72,0,-,-,-,-,-,-,-,-
11615,11602,1450,13,72,0,-,-,-,-,-,-,-,-
11612,11602,1450,10,72,0,-,-,-,-,-,-,-,-
11609,11602,1450,7,72,0,-,-,-,-,-,-,-,-
11620,11602,1450,18,72,0,-,-,-,-,-,-,-,-
11616,11602,1450,14,72,0,-,-,-,-,-,-,-,-
11616,11602,1450,14,72,0,-,-,-,-,-,-,-,-
11610,11602,1450,8,72,0,-,-,-,-,-,-,-,-
11626,11602,1450,24,72,0,-,-,-,-,-,-,-,-
11630,11602,1450,28,72,0,-,-,-,-,-,-,-,-
11636,11602,1450,34,72,0,-,-,-,-,-,-,-,-
11636,11602,1450,34,72,0,-,-,-,-,-,-,-,-
11641,11602,1450,39,72,0,-,-,-,-,-,-,-,-
11629,11602,1450,27,72,0,-,-,-,-,-,-,-,-
11614,11602,1450,12,72,0,-,-,-,-,-,-,-,-
11610,11602,1450,8,72,0,-,-,-,-,-,-,-,-
11615,11602,1450,13,72,0,-,-,-,-,-,-,-,-
11624,11602,1450,22,72,0,-,-,-,-,-,-,-,-
11639,11602,1450,37,72,0,-,-,-,-,-,-,-,-
11648,11602,1450,46,72,0,-,-,-,-,-,-,-,-
11642,11602,1450,40,72,0,-,-,-,-,-,-,-,-
11641,11602,1450,39,72,0,-,-,-,-,-,-,-,-
11648,11602,1450,46,72,0,-,-,-,-,-,-,-,-
11653,11602,1450,51,72,0,-,-,-,-,-,-,-,-
11663,11602,1450,61,72,0,-,-,-,-,-,-,-,-
11658,11602,1450,56,72,0,-,-,-,-,-,-,-,-
11659,11602,1450,57,72,0,-,-,-,-,-,-,-,-
11673,11602,1450,71,72,0,-,-,-,-,-,-,-,-
11683,11602,1450,81,72,0,-,-,-,-,-,-,-,-
11706,11602,1450,104,72,0,-,-,-,-,-,-,-,-
11737,11602,1450,135,72,0,-,-,-,-,-,-,-,-
11740,11602,1450,138,72,0,-,-,-,-,-,-,-,-
11739,11602,1450,137,72,0,-,-,-,-,-,-,-,-
11738,11602,1450,136,72,0,-,-,-,-,-,-,-,-
11736,11602,1450,134,72,0,-,-,-,-,-,-,-,-
11743,11602,1450,141,72,0,-,-,-,-,-,-,-,-
11758,11602,1450,156,72,0,-,-,-,-,-,-,-,-
11773,11602,1450,171,72,0,-,-,-,-,-,-,-,-
