2025-05-01T08:17:39
Configurations(Methods):
Name,Touch Interfaces
config01,"Button00, TS05"
config02,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Button00:Measurement Value",Baseline,Threshold,Touch ON/OFF Difference,Hysteresis,Status,"config02:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
11584,11577,1450,7,72,0,65535,1807,100,11497,11496,11590,11521,11635
11607,11577,1450,30,72,0,65535,1807,100,11465,11493,11621,11572,11634
11597,11577,1450,20,72,0,65535,1807,100,11488,11491,11618,11594,11643
11581,11577,1450,4,72,0,65535,1807,100,11493,11486,11612,11585,11605
11584,11577,1450,7,72,0,65535,1807,100,11488,11479,11627,11592,11592
11586,11577,1450,9,72,0,65535,1807,100,11499,11487,11600,11578,11601
11551,11577,1450,-26,72,0,65535,1807,100,11491,11490,11598,11583,11601
11581,11577,1450,4,72,0,65535,1807,100,11512,11498,11611,11586,11597
11572,11577,1450,-5,72,0,65535,1807,100,11501,11491,11628,11578,11624
11579,11577,1450,2,72,0,65535,1807,100,11472,11469,11578,11555,11602
11565,11577,1450,-12,72,0,65535,1807,100,11473,11455,11578,11560,11578
11572,11577,1450,-5,72,0,65535,1807,100,11516,11472,11580,11595,11606
11546,11577,1450,-31,72,0,65535,1807,100,11488,11456,11594,11574,11616
11563,11577,1450,-14,72,0,65535,1807,100,11469,11451,11580,11526,11607
11565,11577,1450,-12,72,0,65535,1807,100,11476,11446,11557,11551,11620
11574,11577,1450,-3,72,0,65535,1807,100,11509,11467,11595,11568,11632
11604,11577,1450,27,72,0,65535,1807,100,11488,11527,11635,11572,11660
11572,11577,1450,-5,72,0,65535,1807,100,11498,11487,11652,11591,11658
11578,11577,1450,1,72,0,65535,1807,100,11507,11500,11597,11573,11639
11594,11577,1450,17,72,0,65535,1807,100,11513,11493,11622,11591,11633
11603,11577,1450,26,72,0,-,-,-,-,-,-,-,-
-,-,-,-,-,-,65535,1807,100,11490,11487,11572,11596,11591
11641,11577,1450,64,72,0,65535,1807,100,11505,11514,11604,11583,11601
11654,11577,1450,77,72,0,65535,1807,100,11485,11507,11606,11607,11625
11677,11577,1450,100,72,0,-,-,-,-,-,-,-,-
11863,11577,1450,286,72,0,65535,1807,100,11511,11519,11620,11547,11652
12925,11577,1450,1348,72,0,65535,1807,100,11475,11495,11604,11595,11665
13664,11577,1450,2087,72,1,65535,1807,100,11501,11502,11626,11611,11643
14032,11577,1450,2455,72,1,65535,1807,100,11500,11507,11692,11660,11679
14179,11577,1450,2602,72,1,65535,1807,100,11512,11519,11695,11666,11714
14224,11577,1450,2647,72,1,65535,1807,100,11528,11537,11701,11654,11707
14276,11577,1450,2699,72,1,65535,1807,100,11533,11531,11646,11669,11737
14313,11577,1450,2736,72,1,65535,1807,100,11535,11589,11653,11695,11719
14330,11577,1450,2753,72,1,65535,1807,100,11511,11531,11701,11662,11710
14333,11577,1450,2756,72,1,65535,1807,100,11512,11521,11708,11693,11698
14308,11577,1450,2731,72,1,65535,1807,100,11511,11528,11675,11678,11708
14343,11577,1450,2766,72,1,65535,1807,100,11532,11527,11676,11670,11721
14338,11577,1450,2761,72,1,65535,1807,100,11547,11536,11687,11658,11723
14327,11577,1450,2750,72,1,65535,1807,100,11518,11523,11683,11681,11707
14331,11577,1450,2754,72,1,65535,1807,100,11529,11577,11730,11698,11719
14332,11577,1450,2755,72,1,65535,1807,100,11516,11613,11730,11659,11698
14314,11577,1450,2737,72,1,65535,1807,100,11502,11573,11723,11668,11713
14343,11577,1450,2766,72,1,65535,1807,100,11539,11553,11691,11686,11738
14331,11577,1450,2754,72,1,65535,1807,100,11511,11544,11687,11669,11703
14295,11577,1450,2718,72,1,65535,1807,100,11491,11533,11701,11664,11683
14333,11577,1450,2756,72,1,-,-,-,-,-,-,-,-
14320,11577,1450,2743,72,1,65535,1807,100,11521,11547,11698,11654,11733
14307,11577,1450,2730,72,1,65535,1807,100,11522,11556,11708,11686,11709
14326,11577,1450,2749,72,1,-,-,-,-,-,-,-,-
14324,11577,1450,2747,72,1,65535,1807,100,11529,11534,11688,11642,11665
14298,11577,1450,2721,72,1,65535,1807,100,11517,11521,11685,11667,11627
14353,11577,1450,2776,72,1,65535,1807,100,11513,11518,11709,11673,11672
14311,11577,1450,2734,72,1,65535,1807,100,11534,11521,11717,11656,11701
14286,11577,1450,2709,72,1,65535,1807,100,11509,11524,11713,11645,11703
14340,11577,1450,2763,72,1,65535,1807,100,11495,11533,11695,11661,11721
14327,11577,1450,2750,72,1,65535,1807,100,11493,11561,11709,11644,11704
14311,11577,1450,2734,72,1,65535,1807,100,11482,11528,11724,11666,11699
14344,11577,1450,2767,72,1,65535,1807,100,11497,11531,11696,11665,11715
14326,11577,1450,2749,72,1,65535,1807,100,11504,11529,11683,11667,11713
14322,11577,1450,2745,72,1,-,-,-,-,-,-,-,-
14349,11577,1450,2772,72,1,65535,1807,100,11527,11553,11705,11707,11727
14332,11577,1450,2755,72,1,-,-,-,-,-,-,-,-
14361,11577,1450,2784,72,1,65535,1807,100,11538,11550,11719,11652,11718
-,-,-,-,-,-,65535,1807,100,11522,11563,11738,11713,11697
14361,11577,1450,2784,72,1,65535,1807,100,11550,11556,11726,11665,11685
14262,11577,1450,2685,72,1,65535,1807,100,11536,11549,11680,11653,11712
