2025-05-01T12:23:32
Configurations(Methods):
Name,Touch Interfaces
config01,"Button00, TS05"
config02,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Button00:Measurement Value",Baseline,Threshold,Touch ON/OFF Difference,Hysteresis,Status,"config02:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
11624,11640,1450,-16,72,0,-,-,-,-,-,-,-,-
11627,11640,1450,-13,72,0,-,-,-,-,-,-,-,-
11618,11640,1450,-22,72,0,-,-,-,-,-,-,-,-
11622,11640,1450,-18,72,0,-,-,-,-,-,-,-,-
11617,11640,1450,-23,72,0,-,-,-,-,-,-,-,-
11625,11640,1450,-15,72,0,-,-,-,-,-,-,-,-
11636,11640,1450,-4,72,0,-,-,-,-,-,-,-,-
11654,11640,1450,14,72,0,-,-,-,-,-,-,-,-
11654,11640,1450,14,72,0,-,-,-,-,-,-,-,-
11656,11640,1450,16,72,0,-,-,-,-,-,-,-,-
11651,11640,1450,11,72,0,-,-,-,-,-,-,-,-
11640,11640,1450,0,72,0,-,-,-,-,-,-,-,-
11640,11640,1450,0,72,0,-,-,-,-,-,-,-,-
11642,11640,1450,2,72,0,-,-,-,-,-,-,-,-
11643,11640,1450,3,72,0,-,-,-,-,-,-,-,-
11637,11640,1450,-3,72,0,-,-,-,-,-,-,-,-
11638,11640,1450,-2,72,0,-,-,-,-,-,-,-,-
11637,11640,1450,-3,72,0,-,-,-,-,-,-,-,-
11637,11640,1450,-3,72,0,-,-,-,-,-,-,-,-
11648,11640,1450,8,72,0,-,-,-,-,-,-,-,-
11639,11640,1450,-1,72,0,-,-,-,-,-,-,-,-
11637,11640,1450,-3,72,0,-,-,-,-,-,-,-,-
11644,11640,1450,4,72,0,-,-,-,-,-,-,-,-
11641,11640,1450,1,72,0,-,-,-,-,-,-,-,-
11629,11640,1450,-11,72,0,-,-,-,-,-,-,-,-
11638,11640,1450,-2,72,0,-,-,-,-,-,-,-,-
11636,11640,1450,-4,72,0,-,-,-,-,-,-,-,-
11627,11640,1450,-13,72,0,-,-,-,-,-,-,-,-
11628,11640,1450,-12,72,0,-,-,-,-,-,-,-,-
11632,11640,1450,-8,72,0,-,-,-,-,-,-,-,-
11632,11640,1450,-8,72,0,-,-,-,-,-,-,-,-
11627,11640,1450,-13,72,0,-,-,-,-,-,-,-,-
11613,11640,1450,-27,72,0,-,-,-,-,-,-,-,-
11612,11640,1450,-28,72,0,-,-,-,-,-,-,-,-
11621,11640,1450,-19,72,0,-,-,-,-,-,-,-,-
11622,11640,1450,-18,72,0,-,-,-,-,-,-,-,-
