2025-05-01T00:43:11
Configurations(Methods):
Name,Touch Interfaces
config01,"Button00, TS05"
config02,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Button00:Measurement Value",Baseline,Threshold,Touch ON/OFF Difference,Hysteresis,Status,"config02:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
11585,11598,1450,-13,72,0,65535,1807,100,11501,11472,11615,11592,11652
11580,11598,1450,-18,72,0,-,-,-,-,-,-,-,-
-,-,-,-,-,-,65535,1807,100,11492,11477,11598,11591,11608
11582,11598,1450,-16,72,0,65535,1807,100,11505,11482,11613,11588,11644
11593,11598,1450,-5,72,0,65535,1807,100,11511,11482,11631,11590,11651
11612,11598,1450,14,72,0,65535,1807,100,11505,11489,11590,11607,11640
11585,11598,1450,-13,72,0,65535,1807,100,11507,11482,11596,11547,11626
11569,11598,1450,-29,72,0,65535,1807,100,11493,11483,11588,11558,11638
11587,11598,1450,-11,72,0,65535,1807,100,11510,11487,11592,11542,11661
11572,11598,1450,-26,72,0,65535,1807,100,11506,11465,11635,11589,11661
-,-,-,-,-,-,65535,1807,100,11504,11480,11632,11579,11646
11581,11598,1450,-17,72,0,65535,1807,100,11507,11475,11611,11594,11650
11596,11593,1450,3,72,0,65535,1807,100,11501,11493,11624,11574,11636
11582,11593,1450,-11,72,0,65535,1807,100,11502,11504,11607,11614,11646
11587,11593,1450,-6,72,0,65535,1807,100,11491,11486,11619,11584,11642
11608,11593,1450,15,72,0,-,-,-,-,-,-,-,-
11593,11593,1450,0,72,0,65535,1807,100,11515,11493,11598,11593,11684
11594,11593,1450,1,72,0,-,-,-,-,-,-,-,-
-,-,-,-,-,-,65535,1807,100,11513,11494,11628,11603,11672
11598,11593,1450,5,72,0,65535,1807,100,11530,11483,11630,11601,11676
11581,11593,1450,-12,72,0,65535,1807,100,11499,11478,11623,11592,11631
11598,11593,1450,5,72,0,65535,1807,100,11487,11517,11641,11567,11607
11598,11593,1450,5,72,0,65535,1807,100,11515,11498,11637,11569,11643
11570,11593,1450,-23,72,0,65535,1807,100,11486,11475,11597,11586,11628
11590,11593,1450,-3,72,0,65535,1807,100,11501,11517,11607,11566,11672
