2025-04-30T15:54:04
Configurations(Methods):
Name,Touch Interfaces
config01,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
65535,1000,100,11590,11584,11605,11558,11563
65535,1000,100,11585,11583,11561,11588,11553
65535,1000,100,11558,11575,11579,11570,11577
65535,1000,100,11569,11561,11567,11573,11545
65535,1000,100,11572,11583,11576,11577,11545
65535,1000,100,11560,11581,11549,11564,11576
65535,1000,100,11609,11578,11595,11558,11558
65535,1000,100,11565,11571,11584,11557,11565
65535,1000,100,11561,11587,11606,11566,11601
65535,1000,100,11572,11595,11578,11561,11597
65535,1000,100,11613,11592,11595,11586,11587
65535,1000,100,11592,11594,11632,11571,11563
65535,1000,100,11566,11607,11611,11557,11547
65535,1000,100,11580,11593,11573,11542,11587
65535,1000,100,11576,11596,11577,11523,11589
65535,1000,100,11576,11578,11575,11554,11531
65535,1000,100,11569,11575,11563,11543,11574
65535,1000,100,11609,11591,11588,11588,11602
65535,1000,100,11574,11596,11597,11582,11559
65535,1000,100,11586,11605,11591,11580,11601
65535,1000,100,11588,11592,11610,11586,11608
65535,1000,100,11596,11584,11623,11544,11595
65535,1000,100,11590,11608,11594,11600,11613
65535,1000,100,11592,11573,11618,11585,11583
65535,1000,100,11571,11578,11612,11596,11542
65535,1000,100,11573,11580,11612,11575,11557
65535,1000,100,11581,11601,11618,11572,11539
65535,1000,100,11570,11588,11609,11550,11574
65535,1000,100,11596,11623,11613,11577,11592
65535,1000,100,11584,11590,11564,11572,11589
65535,1000,100,11600,11598,11604,11580,11552
65535,1000,100,11607,11638,11614,11526,11573
65535,1000,100,11598,11596,11591,11577,11597
65535,1000,100,11594,11615,11595,11564,11587
65535,1000,100,11595,11620,11620,11594,11606
65535,1000,100,11623,11623,11633,11610,11618
65535,1000,100,11605,11610,11611,11559,11622
65535,1000,100,11610,11627,11594,11590,11612
65535,1000,100,11600,11605,11610,11569,11585
65535,1000,100,11608,11643,11602,11555,11563
65535,1000,100,11613,11660,11593,11601,11606
65535,1000,100,11631,11614,11640,11577,11612
65535,1000,100,11603,11596,11653,11556,11600
65535,1000,100,11614,11615,11621,11558,11597
65535,1000,100,11580,11600,11604,11570,11561
65535,1000,100,11560,11580,11607,11579,11555
65535,1000,100,11599,11582,11605,11553,11551
65535,1000,100,11623,11612,11627,11575,11578
65535,1000,100,11606,11615,11612,11557,11606
65535,1000,100,11567,11588,11568,11570,11585
65535,1000,100,11579,11584,11613,11578,11575
65535,1000,100,11583,11586,11601,11567,11568
65535,1000,100,11610,11587,11600,11587,11538
65535,1000,100,11598,11562,11597,11511,11561
65535,1000,100,11592,11559,11612,11549,11566
65535,1000,100,11599,11615,11626,11584,11572
65535,1000,100,11606,11594,11593,11571,11588
65535,1000,100,11582,11574,11614,11560,11589
65535,1000,100,11593,11564,11602,11575,11549
65535,1000,100,11598,11604,11624,11569,11554
65535,1000,100,11594,11677,11621,11581,11575
65535,1000,100,11589,11617,11598,11571,11601
65535,1000,100,11607,11617,11631,11595,11597
65535,1000,100,11587,11611,11639,11593,11603
65535,1000,100,11591,11600,11612,11565,11584
65535,1000,100,11591,11596,11612,11606,11608
65535,1000,100,11623,11604,11625,11603,11585
65535,1000,100,11600,11602,11635,11599,11608
65535,1000,100,11576,11632,11630,11582,11582
65535,1000,100,11605,11607,11636,11571,11606
65535,1000,100,11580,11613,11639,11580,11596
65535,1000,100,11583,11603,11631,11607,11568
65535,1000,100,11587,11600,11631,11583,11577
